ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Cannabis
448,25-34,M,Masters degree,UK,White,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,1.29221,0.07987,True
449,18-24,F,"Some college or university, no certificate or degree",UK,White,1.13281,1.45421,1.06238,-1.772,-0.89891,1.29221,1.2247,False
450,18-24,M,University degree,UK,White,-0.34799,0.63779,0.44585,-0.30172,0.7583,-0.21712,0.07987,False
451,18-24,F,University degree,UK,White,0.73545,-0.15487,-0.84732,0.59042,-1.0145,0.52975,0.07987,False
452,18-24,F,Masters degree,UK,White,-1.1943,0.80523,-0.84732,-0.15487,0.7583,0.19268,-0.52593,True
453,35-44,F,University degree,UK,White,-0.14882,-0.15487,0.14143,0.13136,0.93949,-1.37983,0.07987,True
454,25-34,M,University degree,UK,White,1.23461,-1.7625,-0.31776,0.13136,0.41594,-1.37983,-0.21575,False
455,45-54,M,Doctorate degree,UK,White,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,1.86203,0.7654,False
456,18-24,F,University degree,UK,White,0.82562,-0.80615,0.7233,-0.76096,-2.57309,0.88113,-0.21575,False
457,35-44,M,University degree,UK,White,1.60383,-0.43999,0.29338,-2.21844,-0.65253,0.88113,0.40148,False
458,35-44,F,Masters degree,UK,White,-0.46725,-0.57545,0.14143,0.59042,0.7583,-1.37983,-2.07848,True
459,18-24,F,University degree,UK,White,0.62967,0.00332,0.14143,0.59042,0.12331,-0.21712,0.07987,False
460,25-34,M,Masters degree,UK,White,0.91093,1.2861,1.88511,-2.5383,-0.40581,0.52975,0.07987,False
461,18-24,F,University degree,UK,White,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987,False
462,18-24,M,"Some college or university, no certificate or degree",UK,White,1.49158,-1.37639,-2.63199,1.81866,-1.25773,0.52975,-1.18084,True
463,35-44,M,"Some college or university, no certificate or degree",UK,White,0.82562,0.47617,1.43533,0.13136,-2.30408,1.29221,1.2247,True
464,45-54,M,Left school at 18 years,UK,White,1.02119,-0.94779,-0.58331,1.45039,-1.25773,-0.21712,0.40148,True
465,18-24,F,University degree,UK,White,0.31287,-0.80615,1.06238,0.76096,0.93949,0.19268,-0.21575,False
466,18-24,F,Masters degree,UK,White,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,1.29221,0.7654,True
467,18-24,F,University degree,UK,Asian,0.31287,0.63779,1.06238,1.11406,-0.27607,-0.71126,0.7654,False
468,45-54,M,University degree,UK,White,0.22393,0.00332,1.24033,-0.01729,1.46191,-0.21712,-0.21575,True
469,35-44,M,University degree,UK,White,-0.05188,0.16767,-0.71727,-0.30172,0.12331,-1.37983,-1.18084,True
470,25-34,M,University degree,UK,White,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,False
471,45-54,F,Left school at 16 years,USA,White,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987,True
472,18-24,F,University degree,UK,White,0.13606,0.80523,0.29338,-0.15487,0.7583,-0.71126,-0.84637,True
473,18-24,M,Masters degree,UK,Mixed-White/Black,-0.92104,2.57309,1.06238,1.11406,2.33337,-0.21712,0.40148,False
474,18-24,F,Left school before 16 years,UK,White,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575,False
475,35-44,F,"Some college or university, no certificate or degree",USA,White,1.37297,0.00332,-0.45174,-0.76096,-0.52745,0.88113,-0.21575,False
476,55-64,F,University degree,UK,Mixed-White/Asian,-0.24649,0.96248,0.14143,-0.15487,0.41594,-1.37983,-2.07848,True
477,45-54,F,University degree,USA,White,-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,False
478,35-44,M,University degree,UK,White,1.72012,-0.94779,0.58331,-1.772,-0.40581,0.19268,-0.84637,True
479,35-44,F,Professional certificate/ diploma,UK,White,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,True
480,25-34,F,University degree,UK,White,0.41667,0.80523,-0.31776,0.94156,0.58489,-0.21712,0.07987,True
481,25-34,F,Masters degree,Australia,White,0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,True
482,18-24,M,"Some college or university, no certificate or degree",USA,White,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,-1.37983,-0.84637,False
483,35-44,F,University degree,Australia,White,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,False
484,35-44,M,"Some college or university, no certificate or degree",UK,White,-0.67825,-0.15487,0.29338,0.13136,1.63088,-0.71126,-0.21575,False
485,25-34,F,University degree,UK,White,1.23461,0.47617,1.43533,0.28783,0.93949,0.19268,-0.84637,False
486,35-44,F,Left school at 16 years,UK,White,-0.58016,0.96248,-0.58331,0.76096,-0.27607,-1.37983,-1.18084,False
487,45-54,F,Left school at 16 years,UK,White,-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,False
488,25-34,M,Left school at 18 years,Other,White,1.49158,-1.6334,1.06238,-0.76096,-1.38502,-0.71126,-1.18084,False
489,35-44,F,Left school at 18 years,USA,White,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,False
490,25-34,M,Left school at 16 years,UK,White,0.41667,-1.37639,0.14143,0.76096,-0.40581,-0.21712,1.2247,False
491,18-24,M,Left school before 16 years,UK,White,1.98437,-1.37639,0.29338,-1.92595,-1.64101,-0.21712,0.07987,False
492,18-24,M,"Some college or university, no certificate or degree",UK,White,-1.05308,1.11406,0.88309,-1.34289,-1.38502,-0.71126,1.2247,False
493,45-54,F,Professional certificate/ diploma,UK,White,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173,False
494,18-24,M,Left school at 18 years,UK,White,-0.92104,0.47617,0.44585,0.59042,-0.00665,0.19268,0.40148,False
495,18-24,M,Professional certificate/ diploma,UK,White,0.52135,-0.57545,0.88309,-0.01729,0.25953,0.88113,0.7654,False
496,18-24,M,"Some college or university, no certificate or degree",UK,White,0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,False
497,18-24,M,Professional certificate/ diploma,Other,Other,-1.1943,-0.43999,0.44585,0.59042,0.12331,-1.37983,-0.21575,False
498,55-64,M,"Some college or university, no certificate or degree",USA,White,-0.79151,0.16767,0.58331,0.59042,0.93949,-1.37983,-0.52593,True
499,25-34,M,Masters degree,UK,White,0.04257,1.2861,2.90161,-0.60633,-0.00665,-0.71126,0.07987,True
500,25-34,M,Left school at 16 years,Other,White,-0.05188,-0.57545,0.88309,0.43852,-0.78155,-0.21712,0.07987,False
501,55-64,F,"Some college or university, no certificate or degree",UK,White,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247,False
502,35-44,F,Professional certificate/ diploma,Republic of Ireland,White,0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,False
503,25-34,F,Professional certificate/ diploma,UK,White,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,True
504,18-24,M,"Some college or university, no certificate or degree",USA,White,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,False
505,55-64,F,Professional certificate/ diploma,Canada,White,0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,False
506,35-44,M,Left school at 16 years,UK,White,-0.05188,0.00332,-0.31776,-0.01729,0.41594,-1.37983,-1.18084,False
507,45-54,M,Professional certificate/ diploma,Other,White,0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,True
508,35-44,M,University degree,UK,White,-0.46725,0.63779,0.88309,-0.76096,0.58489,0.19268,0.07987,True
509,25-34,M,University degree,UK,White,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,0.19268,-0.52593,False
510,35-44,M,Left school at 16 years,UK,White,1.49158,-1.09207,-1.11902,-1.772,-0.78155,-0.71126,0.07987,True
511,35-44,F,Masters degree,Other,White,-1.05308,1.11406,-0.31776,0.28783,0.12331,-1.37983,-0.52593,True
512,35-44,M,University degree,UK,White,0.04257,0.96248,-0.58331,-0.30172,-0.40581,0.52975,-0.21575,False
513,45-54,F,Masters degree,UK,White,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084,False
514,18-24,M,"Some college or university, no certificate or degree",UK,White,0.41667,0.47617,0.58331,0.13136,-1.0145,1.86203,0.40148,False
515,55-64,M,Left school at 16 years,USA,White,-0.14882,-0.30033,-0.17779,0.76096,0.41594,-0.21712,-0.21575,False
516,35-44,M,Left school at 16 years,UK,White,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,True
517,18-24,F,Left school at 17 years,USA,White,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,False
518,35-44,F,Left school at 16 years,UK,White,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593,True
519,25-34,F,Masters degree,UK,White,0.31287,-0.15487,0.29338,-0.45321,0.93949,-0.71126,-0.21575,True
520,25-34,M,Professional certificate/ diploma,Other,White,0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,False
521,25-34,M,Masters degree,UK,White,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,False
522,35-44,F,University degree,UK,White,0.22393,-0.30033,-0.97631,-0.76096,0.93949,-1.37983,-2.07848,False
523,45-54,F,Left school at 16 years,Australia,White,0.62967,-0.30033,-0.84732,-0.45321,0.12331,-0.71126,-1.18084,False
524,18-24,M,"Some college or university, no certificate or degree",USA,White,0.04257,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,False
525,18-24,M,"Some college or university, no certificate or degree",UK,White,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,0.19268,0.07987,False
526,35-44,F,Left school before 16 years,UK,White,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848,True
527,45-54,F,University degree,Australia,White,-0.67825,0.63779,1.06238,2.03972,2.63199,0.19268,0.07987,False
528,55-64,M,Left school at 18 years,UK,White,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,True
529,18-24,M,Professional certificate/ diploma,UK,White,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,0.88113,0.07987,False
530,35-44,M,Doctorate degree,UK,White,0.62967,-0.15487,-0.17779,0.59042,-1.64101,0.52975,-0.21575,True
531,25-34,F,Professional certificate/ diploma,UK,White,0.73545,1.11406,-0.01928,-0.01729,-0.00665,-0.21712,1.2247,False
532,55-64,M,University degree,UK,White,0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,True
533,45-54,M,University degree,UK,White,1.02119,-1.50796,-0.71727,0.28783,-0.89891,-0.21712,0.7654,False
534,18-24,F,University degree,UK,White,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,True
535,25-34,M,Masters degree,UK,White,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,0.52975,0.07987,True
536,35-44,F,Masters degree,UK,White,-1.86962,2.32338,-0.45174,1.45039,1.46191,0.19268,-1.18084,True
537,25-34,F,University degree,USA,White,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575,True
538,18-24,F,University degree,UK,White,1.37297,0.80523,-0.97631,0.94156,-0.65253,0.52975,0.07987,False
539,45-54,F,"Some college or university, no certificate or degree",UK,Asian,0.73545,-0.30033,-1.27553,0.76096,-0.89891,-1.37983,-1.54858,True
540,35-44,F,University degree,UK,White,1.13281,-0.30033,-0.01928,0.59042,0.58489,0.19268,0.40148,True
541,45-54,M,Masters degree,UK,White,-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,True
542,45-54,F,University degree,UK,White,-1.05308,0.32197,-0.17779,-0.91699,0.12331,-1.37983,-1.54858,True
543,45-54,F,University degree,Other,Black,0.22393,0.80523,-0.01928,0.76096,0.41594,0.19268,0.07987,True
544,35-44,M,Left school at 17 years,UK,White,0.73545,0.80523,0.88309,-1.21213,-1.0145,0.19268,1.2247,False
545,25-34,F,University degree,UK,White,0.82562,0.63779,-0.97631,-0.76096,0.25953,-0.21712,-0.21575,True
546,18-24,F,Left school at 16 years,UK,White,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,1.29221,-0.21575,False
547,35-44,F,Professional certificate/ diploma,UK,White,1.60383,0.16767,-0.45174,0.59042,-0.78155,-0.71126,-0.21575,True
548,45-54,F,"Some college or university, no certificate or degree",USA,White,-0.92104,-0.43999,0.88309,3.15735,-0.00665,-1.37983,-1.18084,True
549,25-34,F,Masters degree,UK,White,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,True
550,18-24,M,University degree,UK,White,1.23461,-0.43999,0.14143,0.13136,-1.78169,0.52975,-1.18084,True
551,25-34,F,Masters degree,Other,White,-1.1943,1.11406,0.14143,-0.60633,-0.14277,-0.21712,-0.84637,True
552,18-24,F,University degree,UK,White,-0.14882,-0.43999,-1.42424,0.76096,1.30612,-1.37983,-0.52593,False
553,35-44,F,Masters degree,UK,White,-0.79151,1.2861,0.14143,-1.07533,1.13407,-0.21712,1.2247,False
554,18-24,F,Masters degree,UK,White,1.72012,-1.50796,-0.17779,0.76096,0.25953,-0.21712,-1.18084,True
555,25-34,F,Masters degree,Other,Mixed-White/Black,1.02119,-1.92173,-0.45174,-0.01729,0.41594,-0.71126,-2.07848,True
556,25-34,F,Doctorate degree,UK,White,0.62967,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,True
557,45-54,F,Masters degree,UK,White,0.22393,-0.94779,-1.11902,-0.01729,0.93949,-0.71126,-1.18084,True
558,18-24,F,University degree,UK,White,-0.14882,-0.30033,0.29338,-0.15487,0.25953,-1.37983,-0.52593,True
559,25-34,F,University degree,UK,White,-1.69163,0.96248,-0.17779,1.45039,1.30612,-0.71126,-0.21575,True
560,18-24,F,University degree,UK,White,-0.46725,-0.15487,-0.58331,0.94156,-0.14277,1.29221,1.2247,True
561,45-54,F,University degree,UK,White,-0.79151,0.00332,0.44585,0.28783,1.13407,0.19268,-0.52593,True
562,18-24,F,University degree,UK,White,1.02119,0.16767,-0.71727,0.28783,0.41594,-0.71126,-0.52593,True
563,35-44,F,University degree,UK,White,0.62967,0.63779,0.44585,-1.07533,0.7583,-0.21712,-0.21575,True
564,35-44,F,Masters degree,UK,Other,2.61139,0.47617,-1.55521,-0.30172,1.46191,-0.21712,-0.84637,True
565,25-34,F,Masters degree,UK,White,0.82562,0.32197,-0.58331,-1.772,-0.27607,0.19268,0.07987,True
566,45-54,F,"Some college or university, no certificate or degree",UK,White,-0.46725,-0.43999,-0.01928,0.13136,-0.40581,1.86203,-0.84637,False
567,45-54,F,Masters degree,UK,White,0.31287,-0.80615,0.14143,0.59042,-0.78155,-0.71126,-0.84637,True
568,18-24,F,University degree,UK,White,0.91093,1.11406,-0.97631,0.94156,0.58489,-1.37983,-1.18084,False
569,18-24,M,University degree,UK,White,1.8399,0.63779,1.24033,-0.91699,-0.52745,-0.21712,0.07987,False
570,35-44,M,Masters degree,UK,White,1.02119,-0.80615,-0.17779,-0.30172,-0.00665,-0.21712,-0.21575,True
571,35-44,F,Doctorate degree,UK,White,-0.34799,0.80523,-0.17779,-0.91699,2.63199,-0.71126,-0.52593,True
572,35-44,F,Professional certificate/ diploma,Australia,White,0.22393,1.11406,-1.11902,-1.772,-0.40581,0.52975,0.7654,True
573,18-24,F,Masters degree,UK,White,-1.69163,1.93886,-0.17779,1.11406,1.81175,0.19268,0.7654,True
574,35-44,M,Professional certificate/ diploma,UK,White,1.23461,-1.23177,-1.68062,-1.07533,-0.65253,1.86203,0.07987,False
575,55-64,F,"Some college or university, no certificate or degree",USA,White,-0.92104,0.96248,0.44585,-0.60633,-0.40581,0.52975,-0.21575,False
576,35-44,F,University degree,UK,White,2.127,-1.50796,-1.82919,0.59042,-1.78169,-0.71126,-1.54858,True
577,35-44,M,Left school at 16 years,UK,White,-1.86962,0.80523,-1.55521,-0.45321,1.13407,-0.21712,0.07987,True
578,25-34,F,Masters degree,UK,Other,0.82562,0.32197,0.14143,0.59042,0.93949,-0.71126,-0.52593,True
579,25-34,F,University degree,UK,White,1.02119,0.80523,-0.71727,1.2861,-0.14277,-0.71126,-0.21575,True
580,45-54,F,Masters degree,UK,White,1.02119,-0.15487,0.29338,1.11406,1.46191,-1.37983,-1.54858,True
581,18-24,F,Masters degree,UK,White,-0.14882,0.80523,0.58331,0.13136,0.7583,-0.21712,-0.21575,True
582,35-44,F,"Some college or university, no certificate or degree",UK,White,-1.1943,0.00332,-1.11902,-0.01729,-1.92173,1.86203,-0.21575,True
583,18-24,M,"Some college or university, no certificate or degree",UK,White,-0.92104,1.58487,0.44585,-0.30172,-0.65253,0.88113,0.7654,False
584,35-44,F,Professional certificate/ diploma,UK,White,0.31287,1.2861,1.65653,-0.30172,0.93949,0.52975,0.07987,True
585,18-24,F,"Some college or university, no certificate or degree",USA,White,0.62967,0.00332,-0.58331,0.43852,-0.40581,-0.21712,1.2247,False
586,25-34,M,University degree,UK,White,-0.24649,0.16767,-0.31776,-1.21213,0.7583,1.29221,0.40148,True
587,18-24,M,Professional certificate/ diploma,UK,White,0.73545,-0.57545,1.24033,-1.07533,-0.27607,0.52975,0.40148,False
588,18-24,M,"Some college or university, no certificate or degree",UK,White,0.31287,0.32197,-0.31776,0.76096,-1.78169,0.19268,0.7654,False
589,25-34,F,Left school at 16 years,UK,White,-0.46725,1.58487,0.44585,0.94156,0.12331,-0.21712,0.07987,False
590,55-64,F,"Some college or university, no certificate or degree",USA,White,-1.32828,-0.15487,0.29338,-0.91699,0.41594,0.52975,0.07987,False
591,35-44,M,Left school before 16 years,UK,White,-0.58016,0.00332,-0.58331,-0.60633,0.58489,-0.21712,0.40148,False
592,35-44,F,University degree,UK,White,0.41667,-0.43999,-0.31776,-1.6209,1.63088,-0.21712,-0.84637,True
593,35-44,F,Professional certificate/ diploma,USA,White,-2.75696,0.96248,0.14143,0.43852,2.04506,-0.71126,-0.21575,False
594,25-34,M,Professional certificate/ diploma,Other,Mixed-White/Black,-0.05188,0.96248,-0.01928,0.59042,0.58489,0.19268,0.7654,False
595,35-44,M,Left school at 16 years,UK,White,-0.34799,-0.57545,-0.58331,-1.21213,-0.65253,1.29221,0.7654,False
596,45-54,M,Professional certificate/ diploma,Other,White,0.31287,0.16767,-0.45174,-1.34289,0.41594,-0.21712,0.7654,True
597,18-24,M,Left school at 16 years,UK,White,-1.43907,0.80523,0.7233,0.94156,0.93949,0.52975,1.2247,False
598,55-64,F,Professional certificate/ diploma,Canada,White,-0.34799,-0.43999,-0.31776,-0.76096,0.58489,0.88113,1.2247,False
599,45-54,F,Professional certificate/ diploma,USA,White,0.04257,0.16767,-0.58331,0.43852,0.25953,-0.21712,-0.52593,False
600,18-24,M,"Some college or university, no certificate or degree",UK,White,0.52135,-0.15487,0.29338,-0.01729,-0.89891,0.52975,0.40148,False
601,45-54,F,Masters degree,UK,White,0.73545,-0.57545,-0.58331,1.81866,0.12331,-0.71126,-1.18084,True
602,18-24,M,"Some college or university, no certificate or degree",USA,White,1.02119,1.11406,0.7233,0.13136,-1.0145,1.86203,1.2247,False
603,18-24,M,"Some college or university, no certificate or degree",USA,White,0.52135,-1.6334,-1.11902,-2.07848,0.58489,0.52975,1.2247,False
604,18-24,M,"Some college or university, no certificate or degree",USA,White,1.98437,-0.94779,0.7233,-0.60633,-1.0145,0.52975,0.7654,False
605,25-34,M,University degree,USA,White,-0.67825,-0.80615,-0.45174,-1.47955,0.12331,-0.71126,-0.21575,False
606,35-44,F,"Some college or university, no certificate or degree",USA,White,0.41667,0.32197,0.29338,0.94156,0.41594,-0.71126,-0.52593,False
607,55-64,F,Masters degree,USA,White,-2.52197,1.11406,1.88511,1.2861,-1.0145,-0.71126,-0.52593,False
608,18-24,M,University degree,UK,White,-0.46725,0.00332,-1.11902,1.45039,-0.78155,-0.21712,1.2247,False
609,45-54,M,"Some college or university, no certificate or degree",USA,White,-0.05188,0.00332,0.88309,2.03972,-0.14277,-0.71126,0.07987,False
610,25-34,M,University degree,UK,White,-1.69163,1.2861,1.24033,0.13136,1.13407,0.52975,1.92173,False
611,55-64,F,Professional certificate/ diploma,Canada,White,1.23461,-0.80615,-1.42424,1.11406,-1.5184,1.86203,-0.21575,False
612,25-34,M,"Some college or university, no certificate or degree",UK,White,-0.92104,0.96248,0.88309,0.13136,-0.65253,0.19268,1.92173,False
613,25-34,M,University degree,UK,White,-0.67825,0.32197,-0.58331,1.2861,0.58489,0.52975,1.2247,False
614,35-44,M,University degree,UK,White,-1.1943,0.16767,-0.17779,-0.30172,-0.40581,-0.21712,-0.52593,False
615,25-34,F,Masters degree,UK,White,1.98437,-0.30033,-0.31776,-1.6209,-0.65253,0.19268,0.07987,False
616,25-34,F,Left school before 16 years,USA,White,-0.24649,0.63779,-0.71727,-0.91699,0.25953,1.29221,-0.21575,False
617,35-44,F,Masters degree,UK,White,0.13606,-0.15487,-0.45174,0.76096,-0.27607,0.88113,1.2247,True
618,45-54,F,"Some college or university, no certificate or degree",USA,White,1.02119,0.16767,-0.17779,-0.60633,-1.0145,1.29221,1.2247,False
619,45-54,M,Professional certificate/ diploma,Republic of Ireland,White,-0.92104,1.2861,-0.31776,-0.60633,0.7583,-0.71126,0.07987,False
620,25-34,F,University degree,UK,White,-0.05188,1.11406,0.88309,0.13136,-0.00665,0.52975,0.07987,False
621,55-64,M,Masters degree,UK,White,-0.67825,-0.94779,0.7233,-0.91699,0.58489,-1.37983,-0.84637,True
622,18-24,M,Left school at 18 years,UK,White,0.52135,-1.37639,-0.45174,1.45039,-1.78169,1.29221,0.40148,False
623,35-44,M,Masters degree,UK,White,-0.92104,0.63779,-0.17779,-1.34289,0.25953,0.88113,0.40148,True
624,35-44,F,Masters degree,UK,White,-0.14882,0.47617,-0.31776,0.28783,1.63088,-0.71126,-1.54858,True
625,45-54,F,Masters degree,UK,White,-0.34799,0.00332,-0.45174,-0.30172,-1.38502,1.86203,-0.52593,True
626,35-44,F,Doctorate degree,UK,White,0.04257,0.00332,-1.27553,-0.01729,0.25953,-1.37983,-0.21575,True
627,35-44,F,Professional certificate/ diploma,UK,White,-0.34799,-0.57545,-0.58331,-0.91699,0.25953,-0.71126,-1.54858,True
628,35-44,M,University degree,UK,White,-0.05188,-0.43999,-0.84732,-0.45321,0.41594,-0.21712,-0.21575,True
629,35-44,M,Doctorate degree,UK,White,-1.69163,-0.94779,-1.55521,1.81866,0.58489,-2.55524,-0.84637,False
630,25-34,F,Doctorate degree,UK,White,1.23461,-1.09207,-1.27553,1.61108,0.25953,-1.37983,-1.54858,False
631,45-54,F,Doctorate degree,UK,Mixed-White/Black,-0.46725,0.47617,0.58331,0.28783,-0.14277,-0.21712,-2.07848,True
632,35-44,F,Doctorate degree,UK,White,0.52135,-0.30033,1.65653,0.28783,1.13407,-1.37983,-2.07848,True
633,18-24,F,University degree,UK,White,0.41667,-0.15487,-0.31776,2.23427,1.13407,-1.37983,-0.52593,True
634,18-24,F,University degree,UK,White,1.23461,-0.43999,-1.27553,-0.91699,0.7583,-1.37983,-2.07848,True
635,25-34,F,Masters degree,UK,White,-0.67825,1.74091,0.44585,0.13136,0.25953,-0.71126,0.07987,False
636,35-44,F,Doctorate degree,UK,White,1.23461,0.16767,-0.01928,-1.07533,-0.65253,-0.21712,1.2247,False
637,35-44,M,University degree,UK,White,-0.79151,-0.30033,-0.17779,1.11406,-0.52745,-0.71126,0.07987,False
638,45-54,F,University degree,UK,White,-0.67825,0.32197,-0.45174,0.43852,-0.00665,0.19268,-0.21575,True
639,35-44,F,Professional certificate/ diploma,Canada,White,-0.34799,0.16767,-0.97631,0.76096,0.41594,-1.37983,-1.18084,True
640,18-24,F,University degree,UK,White,-0.24649,-0.57545,-1.42424,-0.15487,1.63088,-0.71126,0.07987,True
641,25-34,M,Left school at 16 years,UK,White,-0.24649,1.74091,0.88309,1.2861,0.41594,0.52975,1.92173,False
642,45-54,M,University degree,UK,White,-0.14882,-0.69509,0.44585,0.13136,-0.14277,-0.21712,-0.52593,True
643,35-44,M,Masters degree,UK,White,-0.67825,0.96248,0.88309,2.23427,1.81175,-0.21712,0.40148,True
644,25-34,F,Masters degree,UK,Black,-1.05308,0.63779,-0.31776,1.2861,1.30612,-0.71126,0.40148,False
645,25-34,M,"Some college or university, no certificate or degree",UK,White,0.22393,-0.30033,-1.68062,0.59042,-0.65253,-0.21712,0.07987,False
646,45-54,M,University degree,UK,White,0.04257,-0.30033,-0.31776,-0.76096,-0.40581,1.29221,-0.52593,True
647,18-24,F,University degree,UK,White,-0.46725,-0.15487,-0.31776,-0.15487,0.7583,-0.21712,-0.52593,True
648,18-24,M,"Some college or university, no certificate or degree",USA,White,-1.43907,1.45421,1.06238,-1.6209,0.93949,-0.71126,0.40148,False
649,35-44,F,Masters degree,USA,White,1.13281,0.16767,1.06238,2.03972,-1.0145,1.29221,1.92173,False
650,25-34,F,University degree,UK,White,-0.14882,0.80523,-1.27553,-0.01729,2.04506,0.19268,-1.18084,True
651,45-54,F,Masters degree,UK,White,-0.46725,2.127,2.44904,1.61108,0.12331,1.29221,0.40148,False
652,25-34,M,Masters degree,UK,White,0.62967,0.47617,0.44585,0.59042,-1.0145,0.19268,-1.18084,True
653,18-24,M,"Some college or university, no certificate or degree",Australia,White,1.02119,1.2861,1.24033,-0.60633,-1.0145,0.19268,0.40148,False
654,18-24,M,"Some college or university, no certificate or degree",USA,White,-0.67825,0.63779,-0.01928,0.13136,-0.00665,1.29221,0.40148,False
655,35-44,F,Left school at 16 years,UK,White,-0.34799,0.96248,-0.71727,0.43852,1.13407,-0.71126,-0.84637,True
656,25-34,M,Masters degree,Other,Other,-0.46725,1.74091,-0.45174,-0.15487,-1.0145,0.52975,0.7654,False
657,45-54,M,"Some college or university, no certificate or degree",Canada,White,1.23461,-0.57545,0.29338,-1.21213,-1.13788,1.29221,0.40148,False
658,45-54,M,Professional certificate/ diploma,UK,White,1.13281,-1.37639,1.43533,-0.45321,-1.38502,1.86203,1.92173,False
659,18-24,M,Masters degree,UK,White,0.62967,0.16767,0.44585,-0.30172,-0.52745,0.88113,0.07987,False
660,25-34,M,Doctorate degree,Republic of Ireland,White,-0.79151,1.45421,1.88511,-0.91699,-0.40581,1.29221,0.40148,False
661,25-34,F,Masters degree,UK,Black,-1.32828,0.47617,-0.01928,1.11406,0.12331,-1.37983,-1.54858,True
662,18-24,F,University degree,UK,White,-0.24649,-1.09207,-0.71727,-0.15487,1.46191,-1.37983,-0.84637,True
663,25-34,F,University degree,UK,White,0.04257,0.16767,0.29338,2.03972,1.81175,0.52975,-1.18084,True
664,25-34,F,Doctorate degree,UK,White,1.23461,-1.23177,-0.31776,-1.34289,-1.38502,-0.21712,-0.52593,False
665,18-24,M,University degree,UK,White,-0.34799,-0.43999,0.58331,0.28783,-0.52745,0.52975,0.7654,False
666,25-34,F,Doctorate degree,UK,White,1.13281,-0.43999,0.14143,0.28783,-0.27607,-0.71126,-0.21575,True
667,18-24,M,Left school at 18 years,UK,White,-2.05048,-0.30033,0.14143,-0.15487,-0.89891,0.88113,0.40148,False
668,35-44,M,"Some college or university, no certificate or degree",UK,White,0.91093,-0.69509,1.24033,-0.30172,0.25953,-0.21712,0.07987,False
669,45-54,M,University degree,UK,White,-1.69163,2.127,0.14143,0.28783,-0.40581,0.19268,-0.21575,True
670,25-34,M,"Some college or university, no certificate or degree",UK,White,-0.58016,0.96248,0.44585,-0.30172,-0.14277,0.19268,0.7654,False
671,18-24,M,Professional certificate/ diploma,UK,White,-0.34799,0.16767,-0.45174,-0.76096,-0.40581,-2.55524,-0.52593,False
